"ACTS Test Suite Generation: Wed Dec 28 18:44:29 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 14"
"Maximum number of values per parameter: 6"
"Number of configurations: 60"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_MFXGI4TPNFSC43TGMMXGK6DUOJQS4TSEIVDF6TKFKNJUCR2FKM_KBQXEY3FNRQWE3DFIFZHEYLZ","extra_0_2_OJSXG5LMORPWIYLUME_KBQXEY3FNRQWE3DF","extra_0_3_N5YGK4TBORUW63S7OJSXG5LMOQ_KBQXEY3FNRQWE3DF","extra_0_4_OJSXG5LMORPWG4TZOB2G6X3JNZYHK5A_KBQXEY3FNRQWE3DF","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"org.sufficientlysecure.keychain.action.SCAN_QR_CODE_IMPORT","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.nfc.action.NDEF_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"org.sufficientlysecure.keychain.action.IMPORT_KEY_FROM_QR_CODE","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"org.sufficientlysecure.keychain.action.SCAN_QR_CODE_WITH_RESULT","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
