"ACTS Test Suite Generation: Wed Dec 28 18:44:27 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 10"
"Maximum number of values per parameter: 3"
"Number of configurations: 23"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$"
"$#NULL#$","$#NULL#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
